Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 uses a K3-256K-dominant sample / ~84%; other tiers are scaled. OpenCode Go uses official dollar pools and rates under the standard workload. Composer Fast is the product default.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                     Monthly fee    Served model                  Monthly tokens (B)  USD/MTok  Confidence
35   GLM Coding Pro (Existing ¥149) Off-peak  CNY 149        GLM 5.3                       2.54                0.00865   high
36   GLM Coding Max (New ¥1078) Off-peak      CNY 1078       GLM 5.3 Flash                 17.965              0.00885   high
37   OpenCode Go                              USD 10         Qwen3.7 Plus                  1.1278              0.00887   medium
38   OpenCode Go                              USD 10         DeepSeek V4 Flash Vision Exp  1.0819              0.00924   medium
39   MiniMax Token Plan Ultra                 CNY 469        MiniMax M3                    7.1                 0.00974   high
40   MiniMax Token Plan Max                   CNY 119        MiniMax M3                    1.8                 0.00975   high
41   Cursor Ultra (Standard)                  USD 200        Composer 2.5                  19.8926             0.01005   medium
42   GLM Coding Pro (New ¥538) Off-peak       CNY 538        GLM 5.3 Flash                 7.699               0.01031   high
43   Command Code GOAT                        USD 10         Qwen3.8 Flash                 0.9669              0.01034   medium
44   OpenCode Go                              USD 10         MiMo V2.5 Pro                 0.9415              0.01062   medium
45   MiniMax Token Plan Max (Global)          USD 55         MiniMax M3                    5.1                 0.01078   high
46   GLM Coding Lite (Existing ¥49) Peak      CNY 49         GLM 5.3 Flash                 0.642               0.01126   high
47   Cursor Pro+ (Standard)                   USD 60         Composer 2.5                  5.3047              0.01131   low
48   Command Code GOAT                        USD 10         Step 3.5 Flash                0.8811              0.01135   medium
49   Ollama Pro                               USD 20         GLM 5.3 Flash                 1.7531              0.01141   medium
50   Ollama Max                               USD 100        GLM 5.3 Flash                 8.7655              0.01141   medium
51   OpenCode Go                              USD 10         MiniMax M3                    0.8677              0.01152   medium
52   OpenCode Go                              USD 10         MiniMax M2.7                  0.8677              0.01152   medium
53   OpenCode Go                              USD 10         MiniMax M2.5                  0.8677              0.01152   medium
54   GLM Coding Pro (Existing ¥149) Midpoint  CNY 149        GLM 5.3                       1.905               0.01154   high
55   OpenCode Go                              USD 10         Qwen3.6 Plus                  0.8571              0.01167   medium
56   GLM Coding Max (Existing ¥469) Off-peak  CNY 469        GLM 5.3                       5.926               0.01168   high
57   GLM Coding Max (New ¥1078) Midpoint      CNY 1078       GLM 5.3 Flash                 13.473              0.0118    high
58   MiniMax Token Plan Plus                  CNY 49         MiniMax M3                    0.6                 0.01205   high
59   MiniMax Token Plan Plus                  CNY 49         MiniMax M2.7                  0.6                 0.01205   medium
60   Claude Pro                               USD 20         Claude Opus 4.8               1.588               0.01259   medium
61   Claude Max 20x (9/14+)                   USD 200        Claude Opus 5                 15.7                0.01274   medium
62   Claude Max 5x (9/14+)                    USD 100        Claude Opus 5                 7.85                0.01274   medium
63   Claude Max 20x (9/14+)                   USD 200        Claude Opus 4.8               15.7                0.01274   low
64   MiniMax Token Plan Plus (Global)         USD 22         MiniMax M3                    1.7                 0.01294   high
65   MiniMax Token Plan Plus (Global)         USD 22         MiniMax M2.7                  1.7                 0.01294   medium
66   MiniMax Token Plan Ultra (Global)        USD 132        MiniMax M3                    9.8                 0.01347   high
67   GLM Coding Lite (New ¥118) Off-peak      CNY 118        GLM 5.3 Flash                 1.283               0.01357   high
68   GLM Coding Pro (New ¥538) Midpoint       CNY 538        GLM 5.3 Flash                 5.774               0.01375   high
69   DeepSeek V4 Flash API Off-peak           Pay-as-you-go  DeepSeek V4 Flash             -                   0.01386   high
70   Command Code GOAT                        USD 10         GPT 5.6 Luna                  0.7143              0.014     medium
71   Ollama Pro                               USD 20         DeepSeek V4 Pro               1.4094              0.01419   medium
72   Ollama Max                               USD 100        DeepSeek V4 Pro               7.0472              0.01419   medium
73   Command Code GOAT                        USD 10         MiniMax M3                    0.6797              0.01471   medium
74   GLM Coding Max (Existing ¥469) Midpoint  CNY 469        GLM 5.3                       4.445               0.01557   high
75   ChatGPT Pro 20x                          USD 200        GPT 5.6 Sol                   12.32               0.01623   high
76   Cursor Pro (Standard)                    USD 20         Composer 2.5                  1.2084              0.01655   medium
77   ChatGPT Plus                             USD 20         GPT 5.6 Terra                 1.2012              0.01665   medium
78   ChatGPT Pro 5x                           USD 100        GPT 5.6 Terra                 6.006               0.01665   medium
79   GLM Coding Lite (Existing ¥49) Off-peak  CNY 49         GLM 5.3                       0.423               0.01709   high
80   GLM Coding Pro (Existing ¥149) Peak      CNY 149        GLM 5.3                       1.27                0.01731   high
81   GLM Coding Max (New ¥1078) Peak          CNY 1078       GLM 5.3 Flash                 8.982               0.01771   high
82   GLM Coding Lite (New ¥118) Midpoint      CNY 118        GLM 5.3 Flash                 0.962               0.0181    high
83   OpenCode Go                              USD 10         GPT 5.6 Luna                  0.5357              0.01867   medium
84   GLM Coding Pro (New ¥538) Peak           CNY 538        GLM 5.3 Flash                 3.85                0.02061   high
85   ChatGPT Pro 20x                          USD 200        GPT 5.5                       9.6096              0.02081   medium
86   Command Code GOAT                        USD 10         DeepSeek V4 Pro               0.4698              0.02129   medium
87   OpenCode Go                              USD 10         Hy4 Preview                   0.4436              0.02254   medium
88   GLM Coding Lite (Existing ¥49) Midpoint  CNY 49         GLM 5.3                       0.317               0.0228    high
89   OpenCode Go                              USD 10         GLM 5.3 Flash                 0.4383              0.02282   medium
90   Ollama Pro                               USD 20         MiniMax M2.7                  0.8677              0.02305   medium
91   Ollama Max                               USD 100        MiniMax M2.7                  4.3384              0.02305   medium
92   GLM Coding Max (Existing ¥469) Peak      CNY 469        GLM 5.3                       2.963               0.02335   high
93   Command Code GOAT                        USD 10         Step 3.7 Flash                0.4226              0.02366   medium
94   Kimi CN CNY 199 †                        CNY 199        Kimi K3                       1.161               0.02529   medium
95   Cursor Ultra                             USD 200        Grok 4.6                      7.737               0.02585   medium
96   Cursor Ultra                             USD 200        Grok 4.5                      7.737               0.02585   medium
97   GLM Coding Max (New ¥1078) Off-peak      CNY 1078       GLM 5.3                       5.926               0.02684   high
98   GLM Coding Lite (New ¥118) Peak          CNY 118        GLM 5.3 Flash                 0.642               0.02711   high
99   DeepSeek V4 Flash API Peak               Pay-as-you-go  DeepSeek V4 Flash             -                   0.02773   high
100  Command Code GOAT                        USD 10         Qwen3.7 Plus                  0.3579              0.02794   medium
101  GPT-5.6 Luna API                         Pay-as-you-go  GPT 5.6 Luna                  -                   0.028     high
102  Cursor Ultra (Composer Fast)             USD 200        Composer 2.5                  7.0587              0.02833   medium
103  OpenCode Go                              USD 10         DeepSeek V4 Pro               0.3524              0.02838   medium
104  Cursor Pro+                              USD 60         Grok 4.6                      2.0632              0.02908   medium
105  Kimi CN CNY 699 †                        CNY 699        Kimi K3                       3.483               0.02961   medium
106  GLM Coding Pro (New ¥538) Off-peak       CNY 538        GLM 5.3                       2.54                0.03125   high
107  OpenCode Go                              USD 10         Kimi K2.6                     0.3151              0.03174   medium
108  Cursor Pro+ (Composer Fast)              USD 60         Composer 2.5                  1.8823              0.03188   low
109  ChatGPT Plus                             USD 20         GPT 5.6 Sol                   0.616               0.03247   medium
110  ChatGPT Pro 5x                           USD 100        GPT 5.6 Sol                   3.08                0.03247   medium
111  Command Code GOAT                        USD 10         Hy4 Preview                   0.2957              0.03382   medium
112  GLM Coding Lite (Existing ¥49) Peak      CNY 49         GLM 5.3                       0.212               0.0341    high
113  GLM Coding Max (New ¥1078) Midpoint      CNY 1078       GLM 5.3                       4.445               0.03578   high
114  Command Code GOAT                        USD 10         Qwen3.6 Plus                  0.2779              0.03598   medium
115  OpenCode Go                              USD 10         Kimi K2.7 Code                0.2731              0.03662   medium
116  Command Code GOAT                        USD 10         Kimi K2.7 Code                0.2731              0.03662   medium
117  Command Code GOAT                        USD 10         DeepSeek V4 Flash Fast        0.2624              0.03811   medium
118  GLM Coding Lite (New ¥118) Off-peak      CNY 118        GLM 5.3                       0.423               0.04115   high
119  ChatGPT Plus                             USD 20         GPT 5.5                       0.4805              0.04162   medium
120  ChatGPT Pro 5x                           USD 100        GPT 5.5                       2.4024              0.04163   medium
121  GLM Coding Pro (New ¥538) Midpoint       CNY 538        GLM 5.3                       1.905               0.04166   high
122  Cursor Pro                               USD 20         Grok 4.6                      0.47                0.04255   medium
123  DeepSeek V4 Pro API Off-peak             Pay-as-you-go  DeepSeek V4 Pro               -                   0.04257   high
124  Command Code GOAT                        USD 10         GLM 5.2                       0.2341              0.04272   medium
125  Ollama Pro                               USD 20         MiniMax M3                    0.4338              0.0461    medium
126  Ollama Max                               USD 100        MiniMax M3                    2.1692              0.0461    medium
127  Cursor Pro (Composer Fast)               USD 20         Composer 2.5                  0.4288              0.04664   medium
128  SuperGrok Plus                           USD 100        Grok 4.6                      2.04                0.04902   medium
129  OpenCode Go                              USD 10         GLM 5.2                       0.2007              0.04983   medium
130  OpenCode Go                              USD 10         GLM 5.1                       0.2007              0.04983   medium
131  Command Code GOAT                        USD 10         Gemini 3.8 Flash              0.1954              0.05118   medium
132  Command Code GOAT                        USD 10         Gemini 3.7 Flash              0.1954              0.05118   medium
133  GLM Coding Max (New ¥1078) Peak          CNY 1078       GLM 5.3                       2.963               0.05367   high
134  GLM Coding Lite (New ¥118) Midpoint      CNY 118        GLM 5.3                       0.317               0.05491   high
135  Command Code GOAT                        USD 10         Inkling Small                 0.1779              0.05621   medium
136  SuperGrok                                USD 30         Grok 4.6                      0.509               0.05894   high
137  SuperGrok Heavy                          USD 300        Grok 4.6                      5.09                0.05894   medium
138  SuperGrok Heavy                          USD 300        Grok 4.5                      5.09                0.05894   medium
139  SuperGrok                                USD 30         Grok 4.5                      0.509               0.05894   medium
140  GLM Coding Pro (New ¥538) Peak           CNY 538        GLM 5.3                       1.27                0.06249   high
141  Kimi CN CNY 99 †                         CNY 99         Kimi K3                       0.232               0.06295   medium
142  Cursor Ultra (Fast)                      USD 200        Grok 4.6                      3.074               0.06506   high
143  SuperGrok Lite                           USD 10         Grok 4.6                      0.15                0.06667   low
144  Command Code GOAT                        USD 10         Nemotron 3 Ultra              0.1446              0.06916   medium
145  Ollama Max                               USD 100        Kimi K2.7 Code                1.3657              0.07322   medium
146  Ollama Pro                               USD 20         Kimi K2.7 Code                0.2731              0.07323   medium
147  Ollama Pro                               USD 20         GLM 5.1                       0.2635              0.0759    medium
148  Ollama Max                               USD 100        GLM 5.1                       1.3175              0.0759    medium
149  GLM Coding Lite (New ¥118) Peak          CNY 118        GLM 5.3                       0.212               0.08211   high
150  DeepSeek V4 Pro API Peak                 Pay-as-you-go  DeepSeek V4 Pro               -                   0.08514   high
151  Command Code GOAT                        USD 10         Muse Spark 1.3                0.1064              0.09398   medium
152  Command Code GOAT                        USD 10         Muse Spark 1.2                0.1064              0.09398   medium
153  Ollama Pro                               USD 20         GLM 5.3                       0.2007              0.09965   medium
154  Ollama Pro                               USD 20         GLM 5.2                       0.2007              0.09965   medium
155  Ollama Max                               USD 100        GLM 5.3                       1.0033              0.09967   medium
156  Ollama Max                               USD 100        GLM 5.2                       1.0033              0.09967   medium
157  Command Code GOAT                        USD 10         GPT 5.6 Sol                   0.1                 0.1       medium
158  Command Code GOAT                        USD 10         Inkling                       0.0993              0.1007    medium
159  Claude Max 5x (9/14+)                    USD 100        Claude Fable 5                0.9235              0.10828   low
160  Ollama Max                               USD 100        Kimi K3                       0.7326              0.1365    medium
161  Ollama Pro                               USD 20         Kimi K3                       0.1465              0.13652   medium
162  Alibaba Cloud CN Coding Plan Pro         CNY 200        Qwen3.7 Plus                  0.198               0.14901   medium
163  Command Code GOAT                        USD 10         GLM 5.3                       0.0669              0.14948   medium
164  Command Code GOAT                        USD 10         Qwen3.8 Max                   0.065               0.15385   medium
165  Command Code GOAT                        USD 10         Qwen3.8 Max 0902              0.065               0.15385   medium
166  Claude Max 20x (9/14+)                   USD 200        Claude Fable 5                1.2077              0.1656    low
167  Command Code GOAT                        USD 10         Qwen3.7 Max                   0.0581              0.17212   medium
168  OpenCode Go                              USD 10         Qwen3.7 Max                   0.0529              0.18904   medium
169  OpenCode Go                              USD 10         GLM 5.3                       0.0502              0.1992    medium
170  Command Code GOAT                        USD 10         Kimi K3                       0.0488              0.20492   medium
171  OpenCode Go                              USD 10         Qwen3.8 Max                   0.0487              0.20534   medium
172  Command Code GOAT                        USD 10         Kimi K2.7 Code HighSpeed      0.0455              0.21978   medium
173  Alibaba Cloud Coding Plan Pro            USD 50         Qwen3.7 Plus                  0.198               0.25253   low
174  Claude Sonnet 5 API                      Pay-as-you-go  Claude Sonnet 5               -                   0.273     high
175  OpenCode Go                              USD 10         Kimi K3                       0.0366              0.27322   medium
176  Command Code GOAT                        USD 10         Grok 4.5                      0.0363              0.27548   medium
177  Command Code GOAT                        USD 10         Grok 4.6                      0.0363              0.27548   medium
178  GPT-5.6 Terra API                        Pay-as-you-go  GPT 5.6 Terra                 -                   0.28      high
179  Command Code GOAT                        USD 10         GLM 5.2 Fast                  0.034               0.29412   medium
180  OpenCode Go                              USD 10         Grok 4.6                      0.0272              0.36765   medium
181  GPT-5.6 Sol API                          Pay-as-you-go  GPT 5.6 Sol                   -                   0.546     high
182  Grok 4.6 API (<200k)                     Pay-as-you-go  Grok 4.6                      -                   0.5515    high
183  Claude Opus 5 API                        Pay-as-you-go  Claude Opus 5                 -                   0.6825    high
184  Claude Fable 5 API                       Pay-as-you-go  Claude Fable 5                -                   1.365     high
